Policy Name,Text
Microsoft OneDrive™ for Business Backup,"Version 1.0
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this procedure is to provide Microsoft OneDrive™ backup instructions to the Fordham community. 
Scope
This IT document, and all policies referenced herein, shall apply to University faculty and staff (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked. 
OneDrive Installation
Microsoft OneDrive syncs files from your workstation to the cloud. All faculty and staff have OneDrive synchronizing to the OneDrive cloud from their workstations. Visit OneDrive for installation instructions. 
Windows Users
Check the lower right portion of your Windows desktop. Look for a cloud icon that displays the words “OneDrive – Fordham University” when you hover your mouse over it. 
Click the icon, then select “Open Folder” to view the contents of the OneDrive folder. Any file saved to this folder automatically syncs with the OneDrive cloud. There is a 1TB file storage limit. 
macOS Users
OneDrive appears in your Applications folder. If you have never used OneDrive, you are prompted to log into a Work or School account. Your Fordham email and password are your login credentials. 
The default folder for OneDrive on macOS devices is “\Users\yourusername\OneDrive – Fordham University” and should appear under your Favorites in the Finder. Any files saved in this folder automatically sync with the OneDrive cloud. 
Using a Browser
Windows and Mac Users can access their Fordham OneDrive folder via the fordham.edu portal. 
Log in to the fordham.edu portal. 
Navigate to the My Apps page. 
Select Office 365. 
Select OneDrive.  
How can I retrieve backup files? 
Any file saved to your Fordham University OneDrive automatically syncs to the OneDrive cloud storage. You can retrieve the files through the fordham.edu portal. 
Log in to the fordham.edu portal. 
Navigate to the My Apps page. 
Select Office 365. 
Select OneDrive.  
Select the file(s) you want to retrieve. 
Click Download.  
How can I retrieve previous versions? 
You can retrieve earlier versions of a file. OneDrive saves up to 500 versions of a file. To restore an older version of a file: 
Log in to your fordham.edu portal. 
Navigate to the My Apps page. 
Select Office 365. 
Select OneDrive.  
Select the file you want a previous version of, click the three vertical dots to the right of the file name. 
On the menu that appears, select “Version history.” 
A Version History pop-up window will appear, showing all document versions. 
Revert the file to the version of your choice by selecting the three dots to the right of the version name,  
Select “Restore.” 
Definitions
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Backup Policy 
Data Classification Guidelines  
Local Device Backup Policy  
Implementation Information
Review Frequency: Annual
Responsible Person: Senior Director, IT Security Operations and Assurance 
Approved By: CISO
Approval Date: January 18, 2022
Revision History
Version: Date: Description:
1.0 01/18/2022 Initial document
 "
Third-Party Data Transfer,"Version 2.0
For Students, Faculty, Staff, Guests, Alumni
Purpose
This procedure standardizes how data is transmitted/transferred between the University’s IT Resources and a third party. 
Scope
This IT document, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Procedure Statement
Transmission of data to or from the University and a third party must be reviewed and approved by Information Security and Assurance, per the Third-Party Data Transfer Policy.
The requestor must submit a service request through ServiceNow from the Applications section of My Apps on fordham.edu to initiate a third-party data transfer request.
ServiceNow instructions:
Click Fordham IT Workspace from the navigation menu.
Select ""New Service Request.""
Select ""IT Internal"" from the Service Catalog.
Select ""Third Party Data Transfer.""
Complete all the required fields on the request form.
You may use the Additional Information text box to provide the processors' details not included in the form (e.g., additional contacts, specific instructions, notes).
Click ""Order Now.""
ServiceNow notifies all related parties of the request via email.
Information Security and Assurance will be able to review the submission and either approve or reject the request.
If the request is rejected, you will need to modify your request and submit a new ticket.
Definitions
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services. 
Related Policies and Procedures
Data in Transit Policy
Data Classification and Protection Policy
Data Classification Guidelines
Implementation Information
Review Frequency Biennial
Responsible Person Senior Director, IT Security Operations and Assurance 
Approved By CISO
Approval Date 03/11/2019
Revision History
Version Date Description
1.0 03/11/2019 Initial document
1.0.1 03/18/2020 Updated to statement
1.2 02/22/2021 Updated procedure statement
2.0 03/13/2023 Updated procedure steps from EasyVista to ServiceNow"
Third-Party Integration,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this procedure is to ensure third-party integration contracts and Service Level Agreements (SLA) follow the University's requirements. These procedures assist in adherence to the Third-Party Integration Policy.
Scope
This IT document, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Procedure Statement
When using third-party integrations, arrange that:
Initial data loads typically performed via SFTP, SSH, or HTTPS require PGP or GPG data encryption before transferring using 4096-bit or greater keys.
Data integrations are performed via APIs and messaging queues, not by flat-file transfers.
Third-parties demonstrate they have a formal, documented, and automated process for granting and revoking access to all systems that process or store Fordham Protected Data or Fordham Sensitive Data.
Third-party User access rights are limited to a need-to-know basis that permits access only to the IT Resources required to perform their duties.
Third-parties assign unique User IDs, not to be shared with any other individuals when handling Fordham Protected Data or Fordham Sensitive Data.
Authenticators used in multi-factor authentication (MFA) be stored securely.
Third-parties maintain an IT Resources access audit and annually make it available to the University either upon request or as an automated log transfer. Be sure the audit includes:
System security events
Events that result in the access, modification, or deletion of IT Resources that process or store University data
A record of the following information for each event:
Identity of the user/subject,
Type of event,
Date and time,
Source (e.g., email, SFTP record),
Detection of unauthorized access, and
Outcome (e.g., success, failure) associated with the event.
Read-only audit logs are protected from unauthorized access.
Upon the termination of any third-party engagement, revoke User access immediately.
Third-party User access is revoked if a job role change eliminates the need to access University's IT Resources.
Definitions
GNU Privacy Guard (GPG, also GnuPG) is a free encryption software compliant with the OpenPGP (RFC4880) standard. 
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
PGP encryption (Pretty Good Privacy encryption) is a data encryption program that gives cryptographic privacy and authentication for online communication. It is often used to encrypt and decrypt texts, email, and files to increase email security.
Related Policies and Procedures
Data Classification Guidelines
Data Classification Policy
Data at Rest Policy
Data in Transit Policy
Third-Party Integration Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Approval Date: November 25, 2019
Revision History
Version: Date: Description:
1.0 11/25/2019 Initial document
1.1 12/04/2020 Updates to the purpose and procedure statement
1.2 08/07/2023 Updated procedure statement"
Vulnerability Management,"Version 2.1
For Students, Faculty, Staff, Guests
Purpose
The purpose of this procedure is to delineate the steps involved in IT vulnerability management in accordance with the Vulnerability Management Policy. It ensures the utilization of suitable tools and methodologies to evaluate vulnerabilities within systems or applications and facilitate remediation.
Scope
This IT document and all policies referenced herein shall apply to all members of the University community, including faculty, students, administrators, staff, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Procedure Steps
The steps in the vulnerability management procedure ensure a systematic approach to identifying, prioritizing, planning for, addressing, and validating the resolution of vulnerabilities within IT systems and applications.
Discovery Phase:  Identify vulnerabilities present within IT Resources.
Prioritization Phase: Discovered vulnerabilities and assets are reviewed, prioritized, and assessed using results from technical and risk reports.
Planning Phase: Devise comprehensive mitigation strategies and action plans to address identified vulnerabilities.
Remediation Phase:  Implement necessary measures to address and rectify vulnerabilities identified during the discovery phase.
Validation Phase:  Conduct subsequent analysis to determine the effectiveness of the remediation measures deployed.
Discovery Phase
Utilize tools such as BitSight, Burp Suite, Invicti (formerly Netsparker), Nmap, Qualys, and WPScan to identify vulnerabilities on IT Resources.1
Prioritization Phase
Application and system owners review and prioritize vulnerabilities based on severity levels and risk assessments. Prioritization Criteria:
Address confirmed severity levels 5, 4, or 3 findings in Qualys.
Prioritize vulnerabilities with a Qualys TruRisk Score of 700 or higher (High or Severe).
Attend to BitSight Bad Grade, Asset Importance High/Critical, and Finding Severity Material/Severe.
Address all severity levels findings in Invicti (formerly Netsparker) (Critical, High, Medium).
Include content security policy configurations, application header configurations, or certificate configuration findings in the prioritization process.
Seek guidance from Information Security and Assurance in case of conflicting severity levels.
Planning Phase
Remediation for the vulnerability findings should be mitigated and validated within the following time frame from initial discovery (i.e., first detected date of vulnerability on respective IT Resources):
Within 30 Days
All BitSight findings graded as Bad
Qualys confirmed severity levels 5 and 4
Confirmed Qualys severity levels 5, 4, and 3 on all systems within the PCI Network
Invicti (formerly Netsparker) Critical and High Severity Levels
Within 60 Days
Qualys confirmed Severity Level 3
Remaining Invicti (formerly Netsparker) Medium and Low severity levels
The ISA may identify findings that are not directly in line with the assessment tools mentioned above and may need to be addressed outside the noted days mentioned.
Remediation Phase
System and application owners must undertake one or more of the following, including but not limited to:
Mitigating controls with ISA approval.
Patches deployment.
Configuration changes deployment.
System upgrades.
Removal/discontinuation of IT Resources usage.
Validation Phase
Verify the effectiveness of remediation efforts through thorough analysis and validation.
Ensure that vulnerabilities are successfully addressed and no longer pose a threat.
Address any discrepancies between remediation actions and validation results.
Escalate unresolved issues or false positives to the Information Security and Assurance team for further investigation and resolution.
Verify the vulnerability no longer exists based on finding the source (e.g., assessment tool, ad hoc finding).
If remediation has taken place, and the change is not reflected in a validation scan or deemed not applicable (e.g., if mitigating controls were implemented, vulnerability is a false positive), the application or system owner is responsible for letting the Information Security and Assurance know via email at infosec@fordham.edu
1Depending on the nature of an OS or application deployed, Information Security and Assurance may leverage alternative assessment tools or methodologies to determine vulnerabilities.
Definitions
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
A patch is a software update comprised of code inserted (i.e., patched) into the code of an executable program. Typically, a patch is installed into an existing software program. Patches are often temporary fixes between full releases of a software package. Patches include, but are not limited to, the following:
Upgrading software
Fixing a software bug
Installing new drivers
Addressing security vulnerabilities
Addressing software stability issues
Remediation is an effort that resolves or mitigates a discovered vulnerability.
Vulnerability is a flaw or weakness in system security procedures, design, implementation, or internal controls that could be exercised (accidentally triggered or intentionally exploited) and result in a security breach or a violation of the system’s security policy.
Vulnerability management is the practice of identifying, classifying, remediating, and mitigating vulnerabilities.
Related Policies and Procedures
Vulnerability Management Policy
Patch Management Policy
Implementation Information
Review Frequency: Annual
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Approval Date: March 25, 2019
Revision History
Version: Date: Description:
1.0 01/08/2018 Initial document
1.1 03/25/2019 Procedure updates
  05/08/2020 Periodic review
1.2 07/26/2021 Updated statement and removed products no longer in use 
1.3 08/10/2022 Updated procedure statement
1.4 11/29/2023 Updated WPScan
2.0 03/06/2024 Updated purpose, scope, procedure
2.1 05/21/2024 Updated Invicti (formerly Netsparker)"
Web Application Security Deployment,"Version 1.2
For Students, Faculty, Staff, Guests
Purpose
The purpose of this procedure is to deploy web application security controls on the University’s IT Resources.
Scope
This IT procedure, and all policies referenced herein, shall apply to all members of the Office of Information Technology staff (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Procedure Statement
System/application owners are responsible for deploying appropriate Web Application Security controls1 to protect web applications per the Web Application IT Security Policy. This document provides the steps necessary to administer web application security controls and policies for all incoming traffic to the University’s web applications to filter out malicious visitors and requests (e.g., SQL injections, XSS attacks, cookie poisoning, denial-of-service attacks, brute force, credential stuffing).2
A. Authentication
Verify that hard-coded credentials are not stored within the application code.
Enable password reset where Central Authentication Service (CAS) cannot be implemented:
Reset system passwords with challenging questions and answers.
Password reset options must not reveal the validity of the account.
Passwords must meet the University’s password requirements as stated in the Acceptable Uses of IT Infrastructure and Resources-Policy Statement.
Lock failed account logins after five failed attempts, and accounts must be locked for a minimum of five minutes.
Authentication error messages must be generic and not disclose any sensitive information regarding the account, such as the validity of the username or password.
Database credentials (i.e., the authentication credentials in the business logic tier) must be stored in a secure, centralized location on the server outside of the web root. The file should only be readable by the user account running the application.
Configure applications and middleware services to run with minimal privileges.
The application must automatically log out the inactive User after 15 minutes unless an extended session is approved by design and accepted by an Office of Information Technology AVP.
You must destroy corresponding data and session information on the server when the User logs out of the application.
The logout button or link must be easily accessible to the User on every page after they have authenticated.
B. Controlled Administrative Privileges
Use access control checks to mediate all requests to a standard security gateway (i.e., Mandatory Access Control), ensuring that access control checks are triggered whether or not the User is authenticated.
All decisions must be based on the principle of least privilege.
Grant access to newly created accounts on a need-to-know basis.
Do not allow direct object references to files or parameters that can be manipulated to grant access to the system.
Prevent non-validated forwards/redirects from unauthorized access and phishing by conducting access control checks before sending the User to the location.
C. Configuration and Operations
Office of Information Technology’s change management process must be followed so that new software releases are tested and associated documentation is completed before going live.
Configure the hardening of all infrastructure/application components to satisfy the agreed-upon levels of the vulnerability scanning tools.
Draft and regularly test a thorough disaster recovery plan to minimize the impact of an incident.
D. Data Protection
Disable HTTP access for all SSL-enabled resources.
Disable weak SSL ciphers.
Use valid SSL certificates from a reputable certificate authority.
Use the Strict-Transport-Security header to ensure that the browser does not talk to the server on non-SSL per the Server Certificate Security policy.
If database User passwords must be stored (e.g., files), appropriate Access Control Lists (ACLs) must be used.
Perform critical establishment or exchanges over a secure channel (e.g., password manager, shared drive).
Securely store keys and make them accessible to the appropriate individuals on a need-to-know basis.
When appropriate, disable browser data caching using the cache control HTTP headers or Meta tags within the HTML page.
Turn off the autocomplete setting for sensitive inputs (e.g., login form in the HTML form).
E. Error Handling and Logging
Error messages must be generic and not reveal details about the application.
Suppress default framework error messages or replace them with customized messages.
Configure error handlers to handle unexpected errors without allowing unhandled exceptions to occur.
Logging and storage
All authentication activities, whether successful or not, must be logged, as well as privilege changes and administrative activities.
All-access to sensitive data such as PII or PHI must be logged and stored centrally in the University’s log management solution (e.g., SumoLogic).
Log retention must follow the retention policy set forth by the University to meet regulatory requirements per the Records Retention and Disposal Policy and the Logging Standards Policy.
F. Input and Output Handling
Contextual output encoding
All input functions must contextually encode data on the server side before the application accepts it.
Set the encoding using HTTP headers or Meta tags for every page in the application to ensure the page’s encoding is defined, and the browser does not have to determine the encoding on its own.
Allow lists/block lists
Allow listing input is the preferred approach; only accept data that meets the criteria.
Apply to block lists for known harmful input patterns and characteristics for more flexibility.
SQL Injection
Must be addressed during application development or as a last resort using a web application firewall to mitigate.
Create SQL queries with User content passed into a bind variable to prevent attacks.
Do not dynamically create SQL queries using string concatenation if the SQL query string is used in a bound or parameterized query.
Tokens for forged requests
Whenever possible, embed a random value unknown to third parties into the HTML form to prevent cross-site request forgery attacks.
Require a unique, sever-issued, and randomized token for each request.
G. File/Input Validation
Validate the size of the file, the file type, and the file contents (i.e., allow list, allowed file types, antivirus software, renaming files after uploading) when accepting file uploads from the User, and ensure that it is not possible to overwrite the destination path for the file.
Validate that the source of the input is the authenticated User.
H. Secure Cookie Attributes
The session cookie must be set with both the HTTP only and the secure flags.
Set the cookie domain and path scope to the most restrictive settings for the application.
Do not use wildcard domain-scoped cookies.
Session cookies must have a reasonable session expiration time.
Avoid non-expiring session cookies.
1 Open Web Application Security Project (OWASP) Top 10 Proactive Controls and OWASP Mobile Security Project.
2 OWASP offers best practices for addressing critical web application security risks.
Definitions
Cookie Poisoning is the modification of a cookie (personal information on a web User's computer) by an attacker to gain unauthorized information about the User for purposes such as identity theft. The attacker may use the information to open new accounts or to gain access to the User's existing accounts.
Credential Stuffing is the automated injection of breached username/password pairs to gain access to User accounts fraudulently. This is a subset of the brute force attack category: large numbers of spilled credentials are automatically entered into websites until they are potentially matched to an existing account, which the attacker can then hijack for their purposes.
Cross-Site Scripting (XSS) attacks are a type of injection in which malicious scripts are injected into otherwise benign and trusted websites. XSS attacks occur when an attacker uses a web application to send malicious code, generally in the form of a browser-side script, to a different end-user. Flaws that allow these attacks to succeed are quite widespread and occur anywhere a web application uses input from a User within the output it generates without validating or encoding it.
Denial-of-service attack (DoS attack) is a cyber-attack where the perpetrator seeks to make a machine or network resource unavailable to its intended Users by temporarily or indefinitely disrupting the services of a host connected to the internet.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
SQL Injection is a code injection technique used to attack data-driven applications, in which malicious SQL statements are inserted into an entry field for execution (e.g., to dump the database contents to the attacker).
Web Application Security is a branch of information security that deals specifically with the security of websites, web applications, and web services.
Related Policies and Procedures
Acceptable Uses of IT Infrastructure and Resources-Policy Statement
Change Control Policy
Logging Standards Policy
Password Management Policy
Patch Management Policy
Software Development Life Cycle Policy
Software Development Life Cycle Procedure
Server Certificate Security Policy
Systems Hardening Policy
Web Application IT Security Policy
Implementation Information
Review Frequency: Annual
Responsible Person: Director, Applications Security
Approved By: CISO
Approval Date: July 31, 2019
Revision History
Version: Date: Description:
1.0 07/31/2019 Initial document
  08/17/2020 Review, no changes
1.1 08/10/2022 Updated links
1.2 10/06/2023 Updated procedure"
Anti-Malware,"Version 2.1
For Students, Faculty, Staff, Guests, Alumni
Sponsor Office of Information Technology
Audience Faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors.
Effective Date 02/11/2011
Implementation History Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance 
Background Information The purpose of these guidelines is to ensure appropriate measures are taken to protect University data and IT Resources from malware.
Definitions
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Malware, short for malicious software, is an umbrella term used to refer to various forms of hostile or intrusive software (e.g., computer viruses, worms, Trojan horses, ransomware, spyware, adware, scareware). It can take the form of executable code, scripts, active content, and other software. Malware is defined by its malicious intent, acting against the requirements of the computer user.
Guidelines Statement
Departments and individuals using University-owned and managed devices should contact IT Service Desk at 718-817-3999 or HelpIT@fordham.edu to have the approved anti-malware software installed. 
Users should report suspicious activity or have questions may contact IT Service Desk at 718-817-3999 or HelpIT@fordham.edu.
Only download content from trusted sites.
Be aware of browser warnings when a website asks for additional access to your computer.
Be aware of spyware or adware on your computer. These types of software often have adverse effects on a computer, including, but not limited to:
pop-ups or unsolicited tabs in a web browser,
loss of access to files due to unintended encryption or deletion,
sluggish computer performance, or multiple unrequested browser windows.
Related Policies, Procedures, and Forms
Acceptable Use of IT Infrastructure and Resources
Antivirus Protection Policy
Revision History
Version Date Description
1.1 02/01/2011 Initial document
1.2 05/10/2018 Updated guidelines
1.3 01/16/2020 Updated statement
2.0 02/05/2021 Changed the name of the document. Updated statement and review frequency
2.1 01/25/2023 Updated scope, definition, and statement"
Clean Desk and Clear Screen,"Version 1.1
For Students, Faculty, Staff, Guests, Alumni
Sponsor Office of Information Technology
Audience Faculty, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors that handle sensitive information should familiarize themselves with these guidelines. Students are also encouraged to develop similar strategies in appropriate settings.
Effective Date 03/09/2018
Implementation Information Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Background Information These guidelines help to ensure that confidential information, whether in electronic or paper form, is appropriately secured when a workspace is not in use. This strategy helps to reduce the risk of unauthorized access, loss of, and damage to Information during and outside of regular business hours or when workspaces are left unattended.
Definitions
Information refers to a body of knowledge or data obtained, produced, organized, shared, or managed over the course of its business operations. Information may be shared or stored in a physical or electronic manner. Information is not easily replaced without funding, skill, knowledge, resources, time, or any combination of these factors. Therefore, Information is considered a critical resource used to build knowledge and sustain and create organizational value.
Guidelines Statement
Enable a password-protected screen saver.
Log off your computer when you are not in your workspace.
Log off and/or lock your computer at the end of the workday.
To prevent shoulder surfing, position your computer screen to protect the confidentiality of the Information. If moving your monitor is not possible, consider using a privacy screen or filter.
Lock your portable computing devices (e.g., laptops, tablets) in a drawer or cabinet when you are not at your workspace or at the end of the workday.
Secure portable media (e.g., CDs, DVDs, unencrypted USB or external drives) containing sensitive information with encryption or store the media in a secure location (i.e., locked drawer, locked cabinet).
Notify IT Service Desk and Public Safety immediately if any desktop, laptop, tablet, and/or portable media containing Fordham Protected or Fordham Sensitive information is missing.
Do not leave paper containing Fordham Protected Data and Fordham Sensitive Data unattended on your desk, especially if you are going to be away from your desk for an extended period
(e.g., lunch breaks, meetings).
Do not leave cabinet or office keys in their locks.
Do not leave keys used to access Fordham Protected Data or Fordham Sensitive Data at an unattended desk.
Notify Public Safety immediately if your access card or keys are missing.
At the end of the working day, you should tidy your desk, put away all paper that contains Fordham Protected Data or Fordham Sensitive Data, and lock your office or drawers.
Never write down passwords.
Do not leave printouts on printers unattended.
Shred sensitive documents when they are no longer required.
Do not use bookshelves to store binders with Fordham Protected Data or Fordham Sensitive Data.
Related Policies, Procedures, and Forms
Data Classification Policy
Data Classification Guidelines
Records Retention and Disposal
Revision History
Version Date Description
1.0 03/03/2018 Initial Guideline
  05/22/2020 Periodic review
1.1 07/12/2023 Updated Guideline Statement"
Email Forwarding,"Version 1.3
For Students, Faculty, Staff, Guests, Alumni
Sponsor Office of Information Technology
Audience Faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors.
Effective Date 03/09/2018
Implementation Information Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Background Information Forwarding email is common among users with multiple email accounts that they prefer to manage centrally. While no security policy prohibits the automatic forwarding of email to an outside account, some risks are inherent.
Guideline Statement
Users may only forward messages per the Data Classifications Guidelines.
Email is typically not considered a secure data transfer method, especially when sending it externally (i.e., not the Fordham domain).
Secure information may be emailed, provided you use a University-approved email encryption solution. Follow the instructions on the Email Encryption webpage.
Related Documents
Data Classifications Guidelines
Email Encryption
Revision History
Version Date Description
1.0 03/09/2018 Final approved
1.1 01/16/2020 Statement update
1.2 02/05/2021 Statement and review frequency updates. 
1.3 02/13/2024 Updated audience, background information, guidelines statement and added the Email Encryption link."
Personal Firewall,"Version 1.1.3
For Students, Faculty, Staff, Guests, Alumni
Sponsor
Office of Information Technology
Audience Faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors.
Effective Date 02/11/2011
Review Date 02/06/2018
Implementation History
Review Frequency: Annual
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Background Information The purpose of this guideline is to ensure that appropriate measures are taken to protect IT Resources from malicious and unauthorized activity.
Definitions
Firewalls are used to prevent unauthorized access to IT Resources.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Guidelines Statement
Firewall software should be installed on all University IT Resources.
For information on the University’s standard firewall software, call IT Service Desk at 718-817-3999 or email HelpIT@fordham.edu to obtain a copy or to update the software.
If applicable, enable your operating system’s (i.e., Windows®1, Mac OS®2) built-in firewall.
Departments and individuals who choose to use firewall solutions other than the Office of Information Technology standard firewall solution should refer to the documentation provided with their software because:
they are responsible for maintaining and updating the software they have installed, and
the University may not support those products.
Related Policies, Procedures, and Forms
Anti-Malware Guidelines
Antivirus Protection Policy
Revision History
Version Date Description
1.1 02/01/2011 Initial document
1.1.2 11/13/2019 Update to links
1.1.3 01/16/2020 Updated statement
      1 Configuring Windows Firewall
2 Configuring Mac OS Application Firewall"
Local Drive Backup Advisory,"Version 2.0
For Students, Faculty, Staff, Guests, Alumni
Sponsor
Office of Information Technology
Audience
Faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors.
Effective Date
03/30/2020
Review Date
04/15/2023
Implementation Information
Review Frequency: Annual
Responsible Person: Chief Information Security Officer
Approved By:  Chief Technology Officer
Background Information
The purpose of this advisory is to ensure the University community is aware of the risks involved with saving files locally on laptops or desktops or on external media (e.g., USB drives, external hard drives).  
Statement
Please be advised the Office of Information Technology does not back up or restore data saved on laptops, desktops, or external media1.
The Office of Information Technology provides secure storage to save your files. However, you are responsible for backing up your data by following the instructions in the Microsoft OneDrive™ for Business Backup Procedure or call Service Desk at 718-817-3999 for other options. 
Revision History
Version
Date
Description
1.0
03/30/2020
Initial document
1.2
03/15/2023
Added Microsoft OneDrive for Business Backup procedure link, updated definition 
2.0
4/15/2023
Name of the advisory was changed from Local Drive Usage to reflect the purpose of the document
  1 Certain data is prohibited from being stored on the local drives. Refer to the  Data Classification Guidelines for more information."
Risk Assessment Policy,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to facilitate compliance with applicable federal and state laws and regulations, protect the confidentiality and integrity of the University’s IT Resources, and enable informed decisions regarding Risk Management.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
The Senior Director of IT Security and Assurance (or designees) is authorized to perform periodic information security Risk Assessments to determine vulnerabilities and initiate appropriate remediation.
The University uses formal Information Security Risk Management (ISRM) programs that identify risks and implement plans to address and manage them.
The Senior Director of IT Security and Assurance manages the ISRM program and coordinates the development and maintenance of program policies, procedures, standards, and reports.
The ISRM program is based on risk assessment and developed in consideration of University priorities, staffing, and budget.
Risk Assessments must identify, quantify, and prioritize risk acceptance and objectives relevant to the University. The results are to guide and determine the appropriate management action and priorities for managing information security risks and for implementing Controls to protect against these risks. 
The Risk Assessment must include the systematic approach of estimating the probability and impact of the risk and the process of analyzing the Inherent Risk score to evaluate the significance of the risk. 
Risk Assessments are performed periodically to address changes in security requirements and the risk situation (e.g., threats, vulnerabilities, impacts).  
Risk Assessments are to be undertaken systematically, capable of producing comparable and reproducible results.
Definitions
Control is a defined process or procedure to reduce risk.
Inherent Risk is the level of risk before controls are applied. 
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services. 
Information Security Risk Management (ISRM) is a program that consistently identifies and tracks information security risks, implements plans for remediation, and guides strategic resource planning.  
Risk Assessment is the process of taking identified risks and analyzing their potential severity of impact and likelihood of occurrence.
Risk Management is the ongoing management process of assessing risks and implementing plans to address them. 
Related Policies and Procedures
Data Classification Policy
Patch Management Policy
Vulnerability Management Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Approval Date: March 1, 2017
Revision History
Version Date Description
1.0 03/01/2017 Initial document
1.0.1 03/02/2018 Grammatical changes only.  No adjustments to the policy.
1.0.2 06/25/2018 Updated disclaimer, scope, and definitions.
  05/22/2020 Periodic review
1.2 08/14/2023 Updated policy statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
